date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:12	229/229	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:12%20GMT	http://hex.h5.legu.cc/i/s/voice_tier7_mindblowing.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier7_mindblowing.mp3	(from http://hex.h5.legu.cc/)
21:24:13	211/211	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:13%20GMT	http://hex.h5.legu.cc/i/s/music.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/music.mp3	(from http://hex.h5.legu.cc/)
21:24:14	210/210	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:14%20GMT	http://hex.h5.legu.cc/i/s/menu.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/menu.mp3	(from http://hex.h5.legu.cc/)
21:24:15	278/278	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:24:15%20GMT	http://hex.h5.legu.cc/api.php?app=savescore&act=save&openid=	/Users/henry/websites/webhack/hex.h5.legu.cc/api15a5.html	(from http://hex.h5.legu.cc/)
21:24:16	210/210	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:16%20GMT	http://hex.h5.legu.cc/i/g/star.png	/Users/henry/websites/webhack/hex.h5.legu.cc/i/g/star.png	(from http://hex.h5.legu.cc/)
21:24:17	212/212	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:17%20GMT	http://hex.h5.legu.cc/i/g/finger.png	/Users/henry/websites/webhack/hex.h5.legu.cc/i/g/finger.png	(from http://hex.h5.legu.cc/)
21:24:18	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:18%20GMT	http://hex.h5.legu.cc/i/g/frvrlogo.png	/Users/henry/websites/webhack/hex.h5.legu.cc/i/g/frvrlogo.png	(from http://hex.h5.legu.cc/)
21:24:19	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:19%20GMT	http://hex.h5.legu.cc/i/g/menutile.png	/Users/henry/websites/webhack/hex.h5.legu.cc/i/g/menutile.png	(from http://hex.h5.legu.cc/)
21:24:20	10833/10833	---M-Z	200	added ('OK')	application/javascript	etag:%222a51-52814ce6907c0-gzip%22	http://hex.h5.legu.cc/pingpp.js	/Users/henry/websites/webhack/hex.h5.legu.cc/pingpp.js	(from http://hex.h5.legu.cc/)
21:24:21	4014/4014	---M-Z	200	added ('OK')	text/css	etag:%22fae-52dc72db2fd00-gzip%22	http://hex.h5.legu.cc/love2048/styles/autobox_game.min.css	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/styles/autobox_game.min.css	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:22	29690/29690	---M-Z	200	added ('OK')	application/javascript	etag:%2273fa-52dc726e77c80-gzip%22	http://hex.h5.legu.cc/love2048/js/zepto.min.js	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/js/zepto.min.js	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:23	26226/26226	---M-Z	200	added ('OK')	text/css	etag:%226672-52dc6cf76d7c0-gzip%22	http://hex.h5.legu.cc/love2048/styles/8e1258bb.main.css	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/styles/8e1258bb.main.css	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:24	16390/16390	---M--	200	added ('OK')	image/jpeg	etag:%224006-52dc80029c5c0%22	http://hex.h5.legu.cc/love2048/icon.jpg	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/icon.jpg	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:25	7634/7634	---M-Z	200	added ('OK')	application/javascript	etag:%221dd2-52dc7549efa40-gzip%22	http://hex.h5.legu.cc/love2048/js/autobox_game.min.js?v20151225	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/js/autobox_game.min0e66.js	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:26	1938/1938	---M--	200	added ('OK')	image/png	etag:%22792-52e12827be540%22	http://hex.h5.legu.cc/love2048/images/zhadan.png	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/images/zhadan.png	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:27	66979/66979	---M-Z	200	added ('OK')	application/javascript	etag:%22105a3-52f31f7cf1540-gzip%22	http://hex.h5.legu.cc/love2048/js/min.js?_=1234	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/js/minb602.js	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:28	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2021%20Jan%202023%2013:24:28%20GMT	http://hex.h5.legu.cc/pingxx.php?act=pay&openid=	/Users/henry/websites/webhack/hex.h5.legu.cc/pingxx8752.php	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:29	224/224	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:29%20GMT	http://hex.h5.legu.cc/resource/image/bannner.jpg?20140714V7	/Users/henry/websites/webhack/hex.h5.legu.cc/resource/image/bannner.3da6d6.delayed	(from http://hex.h5.legu.cc/love2048/styles/8e1258bb.main.css)
21:24:30	226/226	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:30%20GMT	http://hex.h5.legu.cc/resource/image/home-icon.png?20140714V7	/Users/henry/websites/webhack/hex.h5.legu.cc/resource/image/home-icona6d6.png	(from http://hex.h5.legu.cc/love2048/styles/8e1258bb.main.css)
21:24:31	8949/8949	---M--	200	added ('OK')	image/png	etag:%2222f5-52dc69baaf480%22	http://hex.h5.legu.cc/love2048/images/bg-block.png	/Users/henry/websites/webhack/hex.h5.legu.cc/love2048/images/bg-block.png	(from http://hex.h5.legu.cc/love2048/styles/8e1258bb.main.css)
21:24:32	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2021%20Jan%202023%2013:24:32%20GMT	http://hex.h5.legu.cc/pingxx.php?act=pay&openid=	/Users/henry/websites/webhack/hex.h5.legu.cc/pingxx8752.html	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
21:24:33	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2021%20Jan%202023%2013:24:33%20GMT	http://hex.h5.legu.cc/pingxx.php?act=pay&openid=	/Users/henry/websites/webhack/hex.h5.legu.cc/pingxx8752.html	(from http://hex.h5.legu.cc/love2048/?td_channelid=hex)
